"id","created_at","updated_at","business_id","architecture_type","name","description","datatype","unit","min","max","signal_fully_qualified_name","start_bit","can_id","is_deleted"
1,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","3eca77ff0718031656572b287facf0eb","SDV","Vehicle.ADAS.ABS.IsEnabled","Indicates if ABS is enabled. True = Enabled. False = Disabled.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.ABS.IsEnabled",NULL,NULL,False
2,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","c04299cbe9186f44fddd707725ccca00","SDV","Vehicle.ADAS.ABS.IsEngaged","Indicates if ABS is currently regulating brake pressure. True = Engaged. False = Not Engaged.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.ABS.IsEngaged",NULL,NULL,False
3,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","30d2478c2d26f919396245b0bd340654","SDV","Vehicle.ADAS.ABS.IsError","Indicates if ABS incurred an error condition. True = Error. False = No Error.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.ABS.IsError",NULL,NULL,False
4,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","2611f315e5ea7d6ffad795affc8c77dd","SDV","Vehicle.ADAS.ActiveAutonomyLevel","Indicates the currently active level of autonomy according to SAE J3016 taxonomy.","string",NULL,"NaN","NaN","Vehicle.ADAS.ActiveAutonomyLevel",NULL,NULL,False
5,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","18726a2c113100b3d018fecc827d573b","SDV","Vehicle.ADAS.CruiseControl.IsActive","Indicates if cruise control system is active (i.e. actively controls speed). True = Active. False = Inactive.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.CruiseControl.IsActive",NULL,NULL,False
6,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","c5e46112fa39aa6f04f093ebde3e2c5d","SDV","Vehicle.ADAS.CruiseControl.IsEnabled","Indicates if cruise control system is enabled (e.g. ready to receive configurations and settings) True = Enabled. False = Disabled.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.CruiseControl.IsEnabled",NULL,NULL,False
7,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","1ef13aa8b88f1c01b982736df05be705","SDV","Vehicle.ADAS.CruiseControl.IsError","Indicates if cruise control system incurred an error condition. True = Error. False = No Error.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.CruiseControl.IsError",NULL,NULL,False
8,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","c3327165e3d8cfaaa2a216fef19823d9","SDV","Vehicle.ADAS.CruiseControl.SpeedSet","Set cruise control speed in kilometers per hour.","float","km/h","NaN","NaN","Vehicle.ADAS.CruiseControl.SpeedSet",NULL,NULL,False
9,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","5c312a4b6423a5f8e08fb6e809a1dc99","SDV","Vehicle.ADAS.DMS.IsEnabled","Indicates if DMS is enabled. True = Enabled. False = Disabled.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.DMS.IsEnabled",NULL,NULL,False
10,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","21c2584f0135113fae112625864d8b78","SDV","Vehicle.ADAS.DMS.IsError","Indicates if DMS incurred an error condition. True = Error. False = No Error.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.DMS.IsError",NULL,NULL,False
11,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","45c53732cfc2f9ac2ea9133478c89887","SDV","Vehicle.ADAS.DMS.IsWarning","Indicates if DMS has registered a driver alert condition.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.DMS.IsWarning",NULL,NULL,False
12,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","1700f0a04d1bd725f25b573bd582246e","SDV","Vehicle.ADAS.EBA.IsEnabled","Indicates if EBA is enabled. True = Enabled. False = Disabled.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.EBA.IsEnabled",NULL,NULL,False
13,"2025-03-06 15:04:43.551949","2025-05-29 12:28:07.217638","5eb49d78463189f230060397f8147491","SDV","Vehicle.ADAS.EBA.IsEngaged","Indicates if EBA is currently regulating brake pressure. True = Engaged. False = Not Engaged.","boolean",NULL,"NaN","NaN","Vehicle.ADAS.EBA.IsEngaged",NULL,NULL,False
